nsamples	r_UCT	r_VCT	r_ECT	r_BCT
32	.1745458	.1566625	.1547667	.1533917
64	.1274292	.0602542	.0601667	.0610667
96	.0861875	.0255958	.0263917	.0262292
160	.0456917	0.0074	.0078417	0.00785
256	0.021425	.0032667	.0030833	0.00295
384	.0089667	.0013792	.0014792	.0016292
544	.0035542	0.000625	.0005917	.0007292
800	.0011792	0.0003	.0002375	.0003083
1152	0.00045	.0001208	.0000458	.0000917
1632	0.000125	.0000458	.0000083	.0000292
2336	.0000292	.0000148	.0000006	.0000125
